Random Generator,bet,02-2015,04-2015,06-2015,08-2015,10-2015,12-2015,02-2016,04-2016,06-2016,08-2016,10-2016,12-2016,02-2017,04-2017,06-2017,08-2017,10-2017,12-2017,02-2018,04-2018,06-2018,08-2018,10-2018,12-2018
101,0.159226807313231,0.5619834710743802,0.5684647302904564,0.5128205128205128,0.4789915966386555,0.43333333333333335,0.47478991596638653,0.4430379746835443,0.3686440677966102,0.3179916317991632,0.25523012552301255,0.19183673469387755,0.152,0.11507936507936507,0.07509881422924901,0.07509881422924901,0.07450980392156863,0.07228915662650602,0.0796812749003984,0.088,0.06692913385826772,0.08560311284046693,0.0888030888030888,0.10727969348659004,0.09541984732824428
102,0.140404905129639,0.3407079646017699,0.3495575221238938,0.39565217391304347,0.4152542372881356,0.39148936170212767,0.3760330578512397,0.3512396694214876,0.2975206611570248,0.24380165289256198,0.19665271966527198,0.15040650406504066,0.12955465587044535,0.11885245901639344,0.10655737704918032,0.07723577235772358,0.06,0.04780876494023904,0.04743083003952569,0.043137254901960784,0.027888446215139442,0.032,0.023715415019762844,0.01968503937007874,0.023715415019762844
103,0.115457955912362,0.2672413793103448,0.2425531914893617,0.2554112554112554,0.270042194092827,0.3054393305439331,0.32489451476793246,0.3133047210300429,0.29411764705882354,0.25630252100840334,0.2330508474576271,0.2074688796680498,0.1885245901639344,0.18106995884773663,0.1652892561983471,0.13524590163934427,0.1510204081632653,0.1446280991735537,0.13991769547325103,0.13114754098360656,0.11065573770491803,0.08713692946058091,0.09282700421940929,0.1148936170212766,0.12184873949579832
104,0.148753194984537,0.34901960784313724,0.4,0.4342629482071713,0.45977011494252873,0.46332046332046334,0.45384615384615384,0.38697318007662834,0.3423076923076923,0.25475285171102663,0.21722846441947566,0.16412213740458015,0.14285714285714285,0.12213740458015267,0.12355212355212356,0.10505836575875487,0.12403100775193798,0.12355212355212356,0.1076923076923077,0.10266159695817491,0.09328358208955224,0.09157509157509157,0.09854014598540146,0.12773722627737227,0.1299638989169675
105,0.133099892220339,0.44081632653061226,0.46311475409836067,0.4730290456431535,0.44214876033057854,0.4125,0.3235294117647059,0.26556016597510373,0.20502092050209206,0.17154811715481172,0.16317991631799164,0.1518987341772152,0.13636363636363635,0.1037344398340249,0.0912863070539419,0.07407407407407407,0.09623430962343096,0.102880658436214,0.11814345991561181,0.10212765957446808,0.10300429184549356,0.11063829787234042,0.1282051282051282,0.12017167381974249,0.13675213675213677
106,0.158770442072396,0.45614035087719296,0.4482758620689655,0.4678111587982833,0.46120689655172414,0.4780701754385965,0.47435897435897434,0.41702127659574467,0.3605150214592275,0.2608695652173913,0.21367521367521367,0.1694915254237288,0.15481171548117154,0.1506276150627615,0.14583333333333334,0.15637860082304528,0.18292682926829268,0.17073170731707318,0.17012448132780084,0.18672199170124482,0.175,0.1625,0.14345991561181434,0.15611814345991562,0.15833333333333333
107,0.148859858315538,0.29508196721311475,0.30165289256198347,0.319672131147541,0.3263598326359833,0.3458333333333333,0.3723849372384937,0.3686440677966102,0.3135593220338983,0.27615062761506276,0.2625,0.22633744855967078,0.20901639344262296,0.17479674796747968,0.13709677419354838,0.112,0.099601593625498,0.0873015873015873,0.07569721115537849,0.10317460317460317,0.0984251968503937,0.11023622047244094,0.11904761904761904,0.14453125,0.19230769230769232
108,0.126666672506896,0.2892561983471074,0.3,0.33613445378151263,0.33472803347280333,0.3629032258064516,0.3902439024390244,0.356,0.3531746031746032,0.3058823529411765,0.2619047619047619,0.23694779116465864,0.17647058823529413,0.14671814671814673,0.1417624521072797,0.1274131274131274,0.09615384615384616,0.0933852140077821,0.10810810810810811,0.10077519379844961,0.10384615384615385,0.14671814671814673,0.15625,0.17829457364341086,0.17054263565891473
109,0.122454226800463,0.28846153846153844,0.31640625,0.3952569169960474,0.43190661478599224,0.4235294117647059,0.421875,0.40784313725490196,0.36046511627906974,0.31417624521072796,0.3015267175572519,0.2661596958174905,0.24427480916030533,0.17938931297709923,0.13846153846153847,0.11923076923076924,0.10227272727272728,0.10465116279069768,0.09505703422053231,0.12840466926070038,0.164,0.14901960784313725,0.16342412451361868,0.17624521072796934,0.1839080459770115
110,0.125171024153964,0.4689922480620155,0.4669260700389105,0.4666666666666667,0.4453125,0.47104247104247104,0.43529411764705883,0.412,0.37551020408163266,0.35080645161290325,0.308,0.3035019455252918,0.28185328185328185,0.2796934865900383,0.25096525096525096,0.22727272727272727,0.18490566037735848,0.15444015444015444,0.10727969348659004,0.08745247148288973,0.07547169811320754,0.06870229007633588,0.05859375,0.06563706563706563,0.07782101167315175
111,0.131479498530508,0.3568281938325991,0.35555555555555557,0.3799126637554585,0.3722943722943723,0.35964912280701755,0.37554585152838427,0.34347826086956523,0.3162393162393162,0.2978723404255319,0.2396694214876033,0.1934156378600823,0.14285714285714285,0.14516129032258066,0.12903225806451613,0.10196078431372549,0.11155378486055777,0.11067193675889328,0.12109375,0.14671814671814673,0.16091954022988506,0.17624521072796934,0.1984732824427481,0.19230769230769232,0.19066147859922178
112,0.132534549970554,0.1477832512315271,0.16346153846153846,0.1568627450980392,0.20689655172413793,0.208955223880597,0.2777777777777778,0.2736318407960199,0.255,0.25,0.2376237623762376,0.20772946859903382,0.20952380952380953,0.14285714285714285,0.11483253588516747,0.09389671361502347,0.08962264150943396,0.06666666666666667,0.07729468599033816,0.07075471698113207,0.06944444444444445,0.10599078341013825,0.1415525114155251,0.15207373271889402,0.18981481481481483
113,0.171379150280525,0.32644628099173556,0.35537190082644626,0.38626609442060084,0.3881856540084388,0.4344262295081967,0.448559670781893,0.3786008230452675,0.3170731707317073,0.2701612903225806,0.233201581027668,0.2047244094488189,0.17490494296577946,0.15151515151515152,0.11583011583011583,0.0916030534351145,0.09375,0.08203125,0.07335907335907337,0.08171206225680934,0.09689922480620156,0.1225296442687747,0.1383399209486166,0.16,0.1774193548387097
114,0.0773515784055144,0.2196078431372549,0.1889763779527559,0.17857142857142858,0.15953307392996108,0.16988416988416988,0.17557251908396945,0.17557251908396945,0.16666666666666666,0.15648854961832062,0.16602316602316602,0.15648854961832062,0.1412639405204461,0.11787072243346007,0.09541984732824428,0.06792452830188679,0.05343511450381679,0.04924242424242424,0.06037735849056604,0.04887218045112782,0.04905660377358491,0.05343511450381679,0.04580152671755725,0.04633204633204633,0.05813953488372093
115,0.130446645708966,0.23893805309734514,0.24545454545454545,0.24553571428571427,0.2391304347826087,0.2727272727272727,0.2794759825327511,0.27232142857142855,0.252212389380531,0.22666666666666666,0.19469026548672566,0.1511111111111111,0.12831858407079647,0.10666666666666667,0.07964601769911504,0.06437768240343347,0.06437768240343347,0.055793991416309016,0.05982905982905983,0.05627705627705628,0.06465517241379311,0.06926406926406926,0.06521739130434782,0.05309734513274336,0.057777777777777775
116,0.132192427269846,0.3627906976744186,0.35348837209302325,0.34579439252336447,0.3835616438356164,0.3888888888888889,0.3632075471698113,0.3584905660377358,0.3145539906103286,0.24170616113744076,0.20187793427230047,0.16901408450704225,0.15813953488372093,0.11627906976744186,0.09090909090909091,0.09545454545454546,0.09216589861751152,0.08071748878923767,0.0945945945945946,0.08482142857142858,0.08370044052863436,0.08333333333333333,0.1,0.12608695652173912,0.12608695652173912
117,0.149040863185161,0.2981651376146789,0.3212669683257919,0.3212669683257919,0.35294117647058826,0.3574660633484163,0.37727272727272726,0.3333333333333333,0.26339285714285715,0.23766816143497757,0.1762114537444934,0.16883116883116883,0.15384615384615385,0.1072961373390558,0.09829059829059829,0.09871244635193133,0.10212765957446808,0.11715481171548117,0.12033195020746888,0.13445378151260504,0.15352697095435686,0.17012448132780084,0.2,0.256198347107438,0.2857142857142857
118,0.15505030057518,0.2967479674796748,0.2834008097165992,0.3020408163265306,0.3401639344262295,0.35772357723577236,0.3855421686746988,0.34959349593495936,0.3008130081300813,0.24497991967871485,0.18875502008032127,0.1796875,0.14615384615384616,0.10606060606060606,0.1169811320754717,0.1348314606741573,0.14068441064638784,0.13793103448275862,0.12790697674418605,0.14728682170542637,0.1517509727626459,0.16342412451361868,0.18359375,0.2235294117647059,0.28076923076923077
119,0.152654144901223,0.3319327731092437,0.3416666666666667,0.32083333333333336,0.3153526970954357,0.301255230125523,0.31512605042016806,0.3277310924369748,0.3045267489711934,0.25206611570247933,0.19834710743801653,0.1991869918699187,0.20816326530612245,0.22040816326530613,0.18930041152263374,0.1859504132231405,0.14049586776859505,0.13333333333333333,0.1134453781512605,0.1134453781512605,0.10256410256410256,0.1059322033898305,0.12083333333333333,0.0995850622406639,0.10655737704918032
120,0.161833663377545,0.46747967479674796,0.430327868852459,0.4146341463414634,0.4048582995951417,0.42971887550200805,0.4581673306772908,0.41767068273092367,0.37142857142857144,0.3168724279835391,0.27459016393442626,0.2388663967611336,0.20242914979757085,0.20155038759689922,0.16342412451361868,0.14785992217898833,0.12598425196850394,0.10588235294117647,0.08661417322834646,0.05976095617529881,0.04296875,0.05019305019305019,0.05813953488372093,0.054901960784313725,0.056451612903225805
121,0.0827733710882232,0.12446351931330472,0.11587982832618025,0.11894273127753303,0.14222222222222222,0.1391304347826087,0.13852813852813853,0.13675213675213677,0.13025210084033614,0.11522633744855967,0.0995850622406639,0.07407407407407407,0.052845528455284556,0.048,0.04878048780487805,0.04938271604938271,0.04149377593360996,0.036585365853658534,0.03643724696356275,0.036290322580645164,0.03162055335968379,0.03137254901960784,0.027888446215139442,0.028,0.024
122,0.127555144270708,0.3769230769230769,0.4076923076923077,0.41434262948207173,0.44223107569721115,0.466403162055336,0.46484375,0.4031620553359684,0.35826771653543305,0.3176470588235294,0.2549800796812749,0.18503937007874016,0.16602316602316602,0.14785992217898833,0.125,0.10714285714285714,0.09126984126984126,0.10317460317460317,0.1062992125984252,0.1111111111111111,0.14285714285714285,0.16216216216216217,0.19305019305019305,0.1875,0.17374517374517376
123,0.0879847072086564,0.19313304721030042,0.19148936170212766,0.2109704641350211,0.2245762711864407,0.2127659574468085,0.19480519480519481,0.19574468085106383,0.20675105485232068,0.19665271966527198,0.19591836734693877,0.1836734693877551,0.16393442622950818,0.13934426229508196,0.12083333333333333,0.09623430962343096,0.0635593220338983,0.05128205128205128,0.03896103896103896,0.029661016949152543,0.02109704641350211,0.02575107296137339,0.025210084033613446,0.028925619834710745,0.032
124,0.143736645266085,0.22440944881889763,0.2589641434262948,0.2570281124497992,0.2631578947368421,0.3064516129032258,0.316,0.2971887550200803,0.26907630522088355,0.232,0.184,0.184,0.16733067729083664,0.13114754098360656,0.09716599190283401,0.08064516129032258,0.08764940239043825,0.08333333333333333,0.08300395256916997,0.0888030888030888,0.10344827586206896,0.11284046692607004,0.14960629921259844,0.19047619047619047,0.24096385542168675
125,0.154759971673275,0.5023696682464455,0.4786729857819905,0.45539906103286387,0.4583333333333333,0.4429223744292237,0.43805309734513276,0.3700440528634361,0.32286995515695066,0.27601809954751133,0.21395348837209302,0.21875,0.21238938053097345,0.18584070796460178,0.14349775784753363,0.0867579908675799,0.06451612903225806,0.049773755656108594,0.044444444444444446,0.04824561403508772,0.02631578947368421,0.03111111111111111,0.02608695652173913,0.02242152466367713,0.02666666666666667
126,0.121739122540458,0.45064377682403434,0.4658119658119658,0.4525862068965517,0.4661016949152542,0.42857142857142855,0.40789473684210525,0.3482142857142857,0.29017857142857145,0.2610619469026549,0.19111111111111112,0.18061674008810572,0.18181818181818182,0.15384615384615385,0.11965811965811966,0.10256410256410256,0.08403361344537816,0.08438818565400844,0.06751054852320675,0.058333333333333334,0.0411522633744856,0.05063291139240506,0.058091286307053944,0.07053941908713693,0.07377049180327869
127,0.1397380574521,0.2892561983471074,0.32489451476793246,0.375,0.4132231404958678,0.41975308641975306,0.45081967213114754,0.42323651452282157,0.36065573770491804,0.29918032786885246,0.24279835390946503,0.23333333333333334,0.20833333333333334,0.1652542372881356,0.13983050847457626,0.15611814345991562,0.14893617021276595,0.13675213675213677,0.14285714285714285,0.14814814814814814,0.13414634146341464,0.12648221343873517,0.1124031007751938,0.1067193675889328,0.10546875
128,0.109764863572079,0.22641509433962265,0.25660377358490566,0.2862595419847328,0.29545454545454547,0.33840304182509506,0.35471698113207545,0.34444444444444444,0.31835205992509363,0.2693726937269373,0.23308270676691728,0.20676691729323307,0.20149253731343283,0.16044776119402984,0.1282051282051282,0.12222222222222222,0.11439114391143912,0.0962962962962963,0.09701492537313433,0.08582089552238806,0.10408921933085502,0.11152416356877323,0.12030075187969924,0.13909774436090225,0.1553030303030303
129,0.132876658330561,0.29004329004329005,0.27555555555555555,0.25,0.24434389140271492,0.24545454545454545,0.22624434389140272,0.2191780821917808,0.2100456621004566,0.15384615384615385,0.1592920353982301,0.13392857142857142,0.08928571428571429,0.08035714285714286,0.05855855855855856,0.05309734513274336,0.04954954954954955,0.044642857142857144,0.026905829596412557,0.03111111111111111,0.030973451327433628,0.03571428571428571,0.04072398190045249,0.03111111111111111,0.04
130,0.148161854695145,0.35064935064935066,0.34763948497854075,0.34051724137931033,0.33620689655172414,0.33617021276595743,0.3487394957983193,0.2911392405063291,0.26359832635983266,0.23529411764705882,0.23404255319148937,0.2222222222222222,0.2024793388429752,0.18930041152263374,0.15702479338842976,0.11983471074380166,0.1115702479338843,0.11203319502074689,0.12658227848101267,0.12236286919831224,0.10970464135021098,0.100418410041841,0.10504201680672269,0.12393162393162394,0.12393162393162394
131,0.134661587459886,0.21739130434782608,0.22466960352422907,0.24444444444444444,0.26991150442477874,0.2775330396475771,0.3392070484581498,0.32051282051282054,0.31196581196581197,0.30434782608695654,0.2584745762711864,0.25630252100840334,0.2175732217573222,0.2,0.15510204081632653,0.12195121951219512,0.09836065573770492,0.08943089430894309,0.0728744939271255,0.08333333333333333,0.06692913385826772,0.07335907335907337,0.06201550387596899,0.055776892430278883,0.04819277108433735
132,0.0718196228267377,0.11764705882352941,0.13636363636363635,0.14864864864864866,0.16591928251121077,0.1651376146788991,0.16744186046511628,0.16203703703703703,0.1527777777777778,0.14150943396226415,0.102803738317757,0.0963302752293578,0.0821917808219178,0.07407407407407407,0.07075471698113207,0.04205607476635514,0.018867924528301886,0.013953488372093023,0.004739336492890996,0.004629629629629629,0.0136986301369863,0.004524886877828055,0.00909090909090909,0.0091324200913242,0.008968609865470852
133,0.145087175825842,0.33584905660377357,0.3473282442748092,0.36981132075471695,0.3609022556390977,0.32954545454545453,0.3445692883895131,0.31203007518796994,0.2830188679245283,0.2846153846153846,0.23938223938223938,0.23371647509578544,0.22433460076045628,0.20689655172413793,0.1482889733840304,0.12307692307692308,0.1076923076923077,0.09774436090225563,0.09541984732824428,0.07421875,0.07662835249042145,0.07224334600760456,0.060836501901140684,0.07782101167315175,0.08300395256916997
134,0.139089850881931,0.3967611336032389,0.3765182186234818,0.30364372469635625,0.32926829268292684,0.291497975708502,0.29508196721311475,0.27346938775510204,0.2601626016260163,0.22267206477732793,0.18725099601593626,0.1693548387096774,0.1440329218106996,0.11788617886178862,0.08264462809917356,0.0743801652892562,0.06147540983606557,0.0546218487394958,0.04680851063829787,0.046610169491525424,0.046610169491525424,0.05555555555555555,0.09282700421940929,0.1115702479338843,0.136
135,0.100984093847336,0.24324324324324326,0.24031007751937986,0.2637795275590551,0.2795275590551181,0.2896825396825397,0.2976190476190476,0.29098360655737704,0.2530612244897959,0.2066115702479339,0.1910569105691057,0.1680327868852459,0.12601626016260162,0.09387755102040816,0.10204081632653061,0.0796812749003984,0.07905138339920949,0.09486166007905138,0.1015625,0.11627906976744186,0.13846153846153847,0.16412213740458015,0.1717557251908397,0.16470588235294117,0.17716535433070865
136,0.135445593181037,0.35,0.37656903765690375,0.3948497854077253,0.3593073593073593,0.34893617021276596,0.3333333333333333,0.33472803347280333,0.2966101694915254,0.3021276595744681,0.2489451476793249,0.22784810126582278,0.17083333333333334,0.14754098360655737,0.11693548387096774,0.084,0.08835341365461848,0.08333333333333333,0.07171314741035857,0.08366533864541832,0.099601593625498,0.10714285714285714,0.099601593625498,0.09716599190283401,0.09876543209876543
137,0.144597631572294,0.3684210526315789,0.3920704845814978,0.35526315789473684,0.3686440677966102,0.3562231759656652,0.36637931034482757,0.3347826086956522,0.3275862068965517,0.3218884120171674,0.2857142857142857,0.3008130081300813,0.3,0.2631578947368421,0.23481781376518218,0.188,0.17716535433070865,0.1583011583011583,0.1568627450980392,0.12260536398467432,0.13565891472868216,0.14960629921259844,0.15234375,0.15748031496062992,0.16796875
138,0.139188766451297,0.3037974683544304,0.3135593220338983,0.37448559670781895,0.39357429718875503,0.4150197628458498,0.40711462450592883,0.3611111111111111,0.3215686274509804,0.27734375,0.21568627450980393,0.1744186046511628,0.13725490196078433,0.12927756653992395,0.12355212355212356,0.1124031007751938,0.11372549019607843,0.10505836575875487,0.10038610038610038,0.12015503875968993,0.12109375,0.11155378486055777,0.12156862745098039,0.12992125984251968,0.12890625
139,0.0974922368254485,0.3157894736842105,0.3170731707317073,0.35365853658536583,0.35714285714285715,0.38492063492063494,0.3675889328063241,0.3187250996015936,0.264,0.23412698412698413,0.2364341085271318,0.1984732824427481,0.20306513409961685,0.20610687022900764,0.1828793774319066,0.1593625498007968,0.12301587301587301,0.10714285714285714,0.1015625,0.1,0.10687022900763359,0.09848484848484848,0.11235955056179775,0.10861423220973783,0.12030075187969924
140,0.143280432487818,0.4206008583690987,0.4085106382978723,0.4291845493562232,0.4025423728813559,0.44017094017094016,0.3907563025210084,0.35269709543568467,0.3125,0.2754237288135593,0.2320675105485232,0.20675105485232068,0.1829787234042553,0.1574468085106383,0.12184873949579832,0.15163934426229508,0.15510204081632653,0.12550607287449392,0.11788617886178862,0.10975609756097561,0.0743801652892562,0.05761316872427984,0.07083333333333333,0.06779661016949153,0.0641025641025641
141,0.133926956633333,0.2863849765258216,0.31100478468899523,0.34299516908212563,0.3170731707317073,0.3137254901960784,0.27450980392156865,0.2413793103448276,0.19095477386934673,0.16748768472906403,0.14285714285714285,0.11650485436893204,0.07246376811594203,0.04830917874396135,0.0392156862745098,0.02857142857142857,0.03333333333333333,0.02857142857142857,0.028708133971291867,0.03317535545023697,0.02336448598130841,0.018691588785046728,0.013761467889908258,0.004629629629629629,0.0045871559633027525
142,0.0954311078478435,0.19753086419753085,0.21810699588477367,0.22033898305084745,0.2301255230125523,0.23931623931623933,0.21739130434782608,0.2017167381974249,0.189873417721519,0.1350210970464135,0.08860759493670886,0.06611570247933884,0.061224489795918366,0.040160642570281124,0.03187250996015936,0.023622047244094488,0.011764705882352941,0.007936507936507936,0.011904761904761904,0.016,0.020080321285140562,0.024291497975708502,0.02032520325203252,0.020080321285140562,0.01593625498007968
143,0.105315885204798,0.4048582995951417,0.41735537190082644,0.43037974683544306,0.39166666666666666,0.3991769547325103,0.4125,0.3817427385892116,0.3292181069958848,0.2572614107883817,0.22448979591836735,0.18775510204081633,0.17408906882591094,0.12601626016260162,0.12396694214876033,0.08064516129032258,0.09274193548387097,0.1,0.104,0.10276679841897234,0.10276679841897234,0.109375,0.1076923076923077,0.10038610038610038,0.09765625
144,0.170409711439732,0.5,0.5019455252918288,0.5340909090909091,0.5315985130111525,0.4870848708487085,0.46616541353383456,0.4423076923076923,0.3549618320610687,0.24031007751937986,0.19615384615384615,0.19391634980988592,0.19101123595505617,0.18888888888888888,0.13405797101449277,0.10256410256410256,0.10357142857142858,0.1103202846975089,0.1524822695035461,0.16845878136200718,0.18681318681318682,0.17647058823529413,0.1814814814814815,0.2066420664206642,0.22304832713754646
145,0.117330709355459,0.34347826086956523,0.3448275862068966,0.34347826086956523,0.3053097345132743,0.3201754385964912,0.2925764192139738,0.2608695652173913,0.2575107296137339,0.2222222222222222,0.20416666666666666,0.16872427983539096,0.15447154471544716,0.148,0.14,0.11462450592885376,0.10040160642570281,0.07171314741035857,0.054901960784313725,0.04263565891472868,0.02681992337164751,0.03461538461538462,0.0390625,0.043824701195219126,0.05622489959839357
146,0.0976614144776362,0.14285714285714285,0.16532258064516128,0.1673469387755102,0.1680327868852459,0.18218623481781376,0.17408906882591094,0.18,0.15853658536585366,0.13877551020408163,0.15163934426229508,0.13008130081300814,0.0984251968503937,0.092,0.08064516129032258,0.06854838709677419,0.06451612903225806,0.06,0.04838709677419355,0.036885245901639344,0.024489795918367346,0.032388663967611336,0.020833333333333332,0.012396694214876033,0.024691358024691357
147,0.114942112922427,0.2827868852459016,0.3008130081300813,0.30612244897959184,0.363265306122449,0.32510288065843623,0.3374485596707819,0.28512396694214875,0.27049180327868855,0.24180327868852458,0.22672064777327935,0.20161290322580644,0.13709677419354838,0.1,0.05179282868525897,0.056,0.04878048780487805,0.06097560975609756,0.056910569105691054,0.06097560975609756,0.0743801652892562,0.0875,0.10212765957446808,0.11206896551724138,0.13157894736842105
148,0.124861369873949,0.32589285714285715,0.3392857142857143,0.3288888888888889,0.32751091703056767,0.3157894736842105,0.3230088495575221,0.3094170403587444,0.26666666666666666,0.2088888888888889,0.17194570135746606,0.12831858407079647,0.1031390134529148,0.08,0.05429864253393665,0.06818181818181818,0.06363636363636363,0.06511627906976744,0.06481481481481481,0.05504587155963303,0.04054054054054054,0.035555555555555556,0.02702702702702703,0.022727272727272728,0.026785714285714284
149,0.148758436343243,0.3632286995515695,0.36936936936936937,0.36607142857142855,0.3482142857142857,0.38565022421524664,0.3744292237442922,0.3242009132420091,0.2681818181818182,0.2361111111111111,0.20361990950226244,0.15695067264573992,0.1592920353982301,0.13973799126637554,0.1282051282051282,0.0851063829787234,0.09012875536480687,0.07792207792207792,0.11688311688311688,0.14042553191489363,0.15416666666666667,0.16942148760330578,0.16115702479338842,0.1557377049180328,0.16194331983805668
